task_id,group,base_status,a_status_archived,transition,base_error_family,a_error_family,prompt,base_error_excerpt,a_error_excerpt
147,acquise,compile_err,ok,compile_err -> ok,compilation_non_detaillee,aucune,"Write a Fortran90 program that takes a positive integer n, constructs an integer array a of length n where a[i] = i*i - i + 1, and returns the number of triples (a[i], a[j], a[k]) with i < j < k such that their sum is a multiple of 3.",,
148,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,"Write a Fortran90 program that takes two strings representing planet names and returns an array of strings containing all planets whose orbits are between the given two, ordered by their proximity to the sun. The program should return an empty array if any planet name is not valid or if the two planets are the same or not in proper order.",,
149,echec_persistant,compile_err,runtime_err,compile_err -> runtime_err,compilation_non_detaillee,runtime_non_detaillee,"Write a Fortran90 program that takes an array of strings, removes the strings with odd lengths, and returns a sorted array of the remaining strings in ascending order by length and alphabetically if lengths are equal.",,
150,conservee,ok,ok,ok -> ok,aucune,aucune,Write a Fortran90 program that returns the value of x if n is a prime number and returns the value of y otherwise.,,
151,echec_persistant,runtime_err,runtime_err,runtime_err -> runtime_err,runtime_non_detaillee,runtime_non_detaillee,"Write a Fortran90 program that returns the sum of squares of the numbers in the given array that are odd, ignoring numbers that are negative or not integers. If the input array is empty, return 0.",,
152,regression,ok,compile_err,ok -> compile_err,aucune,compilation_non_detaillee,Write a Fortran90 program that compares two arrays of scores and guesses. It returns an array where each element is 0 if the guess is correct and otherwise the absolute difference between the score and the guess.,,
153,echec_persistant,runtime_err,runtime_err,runtime_err -> runtime_err,runtime_non_detaillee,runtime_non_detaillee,"Write a Fortran90 program that determines the strongest extension for a given class. The program receives a class name and an array of extensions (strings) and returns a string formatted as ClassName.StrongestExtension, where the strength is computed as the number of uppercase letters minus the number of lowercase letters. In the case of a tie, choose the first extension in the array.",,
154,acquise,compile_err,ok,compile_err -> ok,compilation_non_detaillee,aucune,Write a Fortran90 program that checks if the second word or any of its rotations is a substring of the first word.,,
155,regression,ok,compile_err,ok -> compile_err,aucune,compilation_non_detaillee,"Write a Fortran90 program that, given an integer, returns a tuple (pair) containing the count of even digits and the count of odd digits in the integer.",,
156,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,Write a Fortran90 program that converts a positive integer (1 to 1000) into its roman numeral equivalent in lowercase.,,
157,regression,ok,compile_err,ok -> compile_err,aucune,compilation_non_detaillee,Write a Fortran90 program that determines if three given side lengths can form a right-angled triangle.,,
158,echec_persistant,runtime_err,runtime_err,runtime_err -> runtime_err,runtime_non_detaillee,runtime_non_detaillee,"Write a Fortran90 program that accepts an array of strings and returns the word with the maximum number of unique characters. In case of a tie, return the lexicographically smallest among those.",,
159,conservee,ok,ok,ok -> ok,aucune,aucune,"Write a Fortran90 program that simulates a hungry rabbit. Given the number of carrots already eaten, the number of carrots needed, and the number of remaining carrots available, return an array of two integers: the total carrots eaten after the meal and the carrots left. If there are not enough remaining carrots, the rabbit eats all and remains hungry.",,
160,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,Write a Fortran90 program that builds an algebraic expression from given arrays of operators and operands and returns the evaluation of the expression.,,
161,echec_persistant,ineq,compile_err,ineq -> compile_err,sortie_incorrecte,compilation_non_detaillee,"Write a Fortran90 program that processes a given string: if the string contains any letters, reverse each letter's case; otherwise, if the string contains no letters, reverse the string.",,
162,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,Write a Fortran90 program that computes the MD5 hash of a given string and returns the hash as a string. Return None if the input string is empty.,,
163,echec_persistant,runtime_err,runtime_err,runtime_err -> runtime_err,runtime_non_detaillee,runtime_non_detaillee,"Write a Fortran90 program that, given two positive integers, returns an array of even one-digit integers between the smaller and larger of the two numbers in ascending order.",,
